,id,name,description,unit,status,calculationMethod,category,oldConvention,cfConvention,timeOffsets,sensorLevels,codeTable
223,mean(air_temperature_normal P1D 1961_1990),Normal for air temperature 1961-1990 (24 h),Daily normal for air temperature calculated for the normal period of 1961-1990. ,degC,METNO-name,"{'baseName': 'air_temperature_normal', 'method': 'mean', 'period': 'P1D', 'addition': '1961_1990', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAM'], 'unit': 'degC'}",,{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
224,mean(air_temperature_normal P1D 1991_2020),Normal for air temperature 1991-2020 (24 h),Daily normal for air temperature calculated for the normal period of 1991-2020. ,degC,METNO-name,"{'baseName': 'air_temperature_normal', 'method': 'mean', 'period': 'P1D', 'addition': '1991_2020', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAM'], 'unit': 'degC'}",,{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
225,mean(air_temperature_normal P1M 1961_1990),Normal for air temperature 1961-1990 (month),Monthly normal for air temperature calculated for the normal period of 1961-1990. ,degC,METNO-name,"{'baseName': 'air_temperature_normal', 'method': 'mean', 'period': 'P1M', 'addition': '1961_1990', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAM'], 'unit': 'degC'}",,{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
226,mean(air_temperature_normal P1M 1991_2020),Normal for air temperature 1991-2020 (month),Monthly normal for air temperature calculated for the normal period of 1991-2020. ,degC,METNO-name,"{'baseName': 'air_temperature_normal', 'method': 'mean', 'period': 'P1M', 'addition': '1991_2020', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAM'], 'unit': 'degC'}",,{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
227,mean(air_temperature_normal P1Y 1961_1990),Normal for air temperature 1961-1990 (year),Annual normal for air temperature calculated for the normal period of 1961-1990. ,degC,METNO-name,"{'baseName': 'air_temperature_normal', 'method': 'mean', 'period': 'P1Y', 'addition': '1961_1990', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAM'], 'unit': 'degC'}",,{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
228,mean(air_temperature_normal P1Y 1991_2020),Normal for air temperature 1991-2020 (year),Annual normal for air temperature calculated for the normal period of 1991-2020. ,degC,METNO-name,"{'baseName': 'air_temperature_normal', 'method': 'mean', 'period': 'P1Y', 'addition': '1991_2020', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAM'], 'unit': 'degC'}",,{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
229,mean(bulk_soil_electrical_conductivity PT1H),Mean electrical conductivity of bulk soil (1t),"Mean electrical conductivity in the soil over the last hour. Electrical conductivity in the soil measures its ability to conduct electricity. The conductivity is connected to the amount of water in the soil. The electrical conductivity can be used to calculate the water content. Bulk soil refers the total mass of soil, water, and air in the sample.",dS/m,METNO-name,"{'baseName': 'bulk_soil_electrical_conductivity', 'method': 'mean', 'period': 'PT1H', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Soil moisture,"{'elementCodes': ['CJ'], 'unit': 'dS/m'}",,,"{'levelType': 'depth_below_surface', 'unit': 'cm', 'defaultValue': 10, 'values': [0, 1, 5, 10, 15, 20, 25, 30, 40, 45, 50, 80, 95, 100, 120, 160, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 670, 700, 750, 800, 850, 900, 950, 1000, 1100, 1200, 1300, 1400, 1500, 1750, 1900, 2000, 2500, 3000, 3500, 4000, 4500, 5000, 5250, 6000, 7000, 8000, 8500, 9000, 9500, 9750, 10000]}",
230,mean(bulk_soil_relative_permittivity PT1H),Mean relative permittivity (dielectric behavior) of bulk soil (1 h),"The mean value of relative permittivity (in soil) over the last hour. The relative permittivity(dielectric behavior) of a material is generally defined as the factor by which the capacitance of a plate capacitor increases when the vacuum or air between the plates is replaced by that material. The bulk soil relative permittivity is the apparent permittivity of the sampled soil-water-air volume relative to the permittivity of vaccum or air.  The bulk soil relative permittivity is defined as the factor by which the capacitance of a plate capacitor increases when the vacuum or air between the plates is replace by the sampled material, here the sampled soil-water-air bulk",1,METNO-name,"{'baseName': 'bulk_soil_relative_permittivity', 'method': 'mean', 'period': 'PT1H', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Soil moisture,"{'elementCodes': ['CE'], 'unit': '1'}",,,"{'levelType': 'depth_below_surface', 'unit': 'cm', 'defaultValue': 10, 'values': [0, 1, 5, 10, 15, 20, 25, 30, 40, 45, 50, 80, 95, 100, 120, 160, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 670, 700, 750, 800, 850, 900, 950, 1000, 1100, 1200, 1300, 1400, 1500, 1750, 1900, 2000, 2500, 3000, 3500, 4000, 4500, 5000, 5250, 6000, 7000, 8000, 8500, 9000, 9500, 9750, 10000]}",
231,mean(cloud_area_fraction P1D),Mean cloud cover (24 h),"Daily mean cloud cover. The mean is an arithmetic mean of three daily observations (06, 12 and 18 UTC) .",octas,CF-name,"{'baseName': 'cloud_area_fraction', 'method': 'mean', 'period': 'P1D', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Clouds,"{'elementCodes': ['NNM'], 'unit': 'octas'}","{'standardName': 'cloud_area_fraction', 'cellMethod': 'time: mean', 'unit': '1', 'version': '44'}",{'values': ['PT0H']},,
232,mean(cloud_area_fraction P1M),Mean cloud cover (month),"Monthly mean cloud cover. The mean is an arithmetic mean of three daily observations (06, 12 and 18 UTC) .",octas,CF-name,"{'baseName': 'cloud_area_fraction', 'method': 'mean', 'period': 'P1M', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Clouds,"{'elementCodes': ['NNM'], 'unit': 'octas'}","{'standardName': 'cloud_area_fraction', 'cellMethod': 'time: mean', 'unit': '1', 'version': '44'}",{'values': ['PT6H']},,
233,mean(cloud_area_fraction P1Y),Mean cloud cover (year),"Annual mean cloud cover. The mean is an arithmetic mean of three daily observations (06, 12 and 18 UTC) .",octas,CF-name,"{'baseName': 'cloud_area_fraction', 'method': 'mean', 'period': 'P1Y', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Clouds,"{'elementCodes': ['NNM'], 'unit': 'octas'}","{'standardName': 'cloud_area_fraction', 'cellMethod': 'time: mean', 'unit': '1', 'version': '44'}",{'values': ['PT6H']},,
234,mean(cloud_area_fraction P3M),Mean cloud cover (season),"Seasonal mean cloud cover. Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). The mean is an arithmetic mean of cloud cover observations at 06, 12 and 18 UTC.",octas,CF-name,"{'baseName': 'cloud_area_fraction', 'method': 'mean', 'period': 'P3M', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Clouds,"{'elementCodes': ['NNM'], 'unit': 'octas'}","{'standardName': 'cloud_area_fraction', 'cellMethod': 'time: mean', 'unit': '1', 'version': '44'}",{'values': ['PT6H']},,
235,mean(cloud_area_fraction P6M),Mean cloud cover (winter or summer),"Mean cloud cover for winter (October-March) or summer (April-September). The mean is an arithmetic mean of cloud cover observations at 06, 12 and 18 UTC.",octas,CF-name,"{'baseName': 'cloud_area_fraction', 'method': 'mean', 'period': 'P6M', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Clouds,"{'elementCodes': ['NNM'], 'unit': 'octas'}","{'standardName': 'cloud_area_fraction', 'cellMethod': 'time: mean', 'unit': '1', 'version': '44'}",{'values': ['PT6H']},,
236,mean(dew_point_temperature P1D),Mean dew point temperature (24 h),"Daily mean dew-point temperature. Dew-point temperature is the temperature at which the air, when cooled, will become saturated (and dew is formed).",degC,CF-name,"{'baseName': 'dew_point_temperature', 'method': 'mean', 'period': 'P1D', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TD'], 'unit': 'degC'}","{'standardName': 'dew_point_temperature', 'cellMethod': 'time: mean', 'unit': 'K', 'version': '44'}",{'values': ['PT0H']},,
237,mean(dew_point_temperature P1M),Mean dew point temperature (month),"Monthly mean dew-point temperature. Dew-point temperature is the temperature at which the air, when cooled, will become saturated (and dew is formed).",degC,CF-name,"{'baseName': 'dew_point_temperature', 'method': 'mean', 'period': 'P1M', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TD'], 'unit': 'degC'}","{'standardName': 'dew_point_temperature', 'cellMethod': 'time: mean', 'unit': 'K', 'version': '44'}",{'values': ['PT6H']},,
238,mean(dew_point_temperature PT1H),Mean dew point temperature (1 h),"Hourly mean dew-point temperature. Dew-point temperature is the temperature at which the air, when cooled, will become saturated (and dew is formed).",degC,CF-name,"{'baseName': 'dew_point_temperature', 'method': 'mean', 'period': 'PT1H', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TDM'], 'unit': 'degC'}","{'standardName': 'dew_point_temperature', 'cellMethod': 'time: mean', 'unit': 'degC', 'version': '44'}",,,
239,mean(diffuse_downwelling_shortwave_flux_in_air P1D),Mean diffuse radiation (24 H),Mean diffuse radiation per 24 hours. Global radiation consists of on part direct solar radiation and one part diffuse radiation (scattered solar radiation). The diffuse part is measured by an instrument that is shielded from direct sunlight.,W/m2 ,CF-name,"{'baseName': 'diffuse_downwelling_shortwave_flux_in_air', 'method': 'mean', 'period': 'P1D', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Radiation,"{'elementCodes': ['QD_24'], 'unit': 'W/m2 '}","{'standardName': 'diffuse_downwelling_shortwave_flux_in_air', 'cellMethod': 'time: mean', 'unit': 'W/m2 ', 'version': '44'}",{'values': ['PT0H']},,
240,mean(diffuse_downwelling_shortwave_flux_in_air PT1H),Diffuse radiation,Mean diffuse radiation per hour. Global radiation consists of on part direct solar radiation and one part diffuse radiation (scattered solar radiation). The diffuse part is measured by an instrument that is shielded from direct sunlight.,W/m2,CF-name,"{'baseName': 'diffuse_downwelling_shortwave_flux_in_air', 'method': 'mean', 'period': 'PT1H', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Radiation,"{'elementCodes': ['QD'], 'unit': 'W/m2'}","{'standardName': 'diffuse_downwelling_shortwave_flux_in_air', 'cellMethod': 'time: mean', 'unit': 'W m-2', 'version': '44'}",,,
241,mean(diffuse_downwelling_shortwave_flux_in_air PT1M),Mean diffuse radiation (1 min),Mean diffuse radiation per minute. Global radiation consists of on part direct solar radiation and one part diffuse radiation (scattered solar radiation). The diffuse part is measured by an instrument that is shielded from direct sunlight.,W/m2 ,CF-name,"{'baseName': 'diffuse_downwelling_shortwave_flux_in_air', 'method': 'mean', 'period': 'PT1M', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Radiation,"{'elementCodes': ['QD_01'], 'unit': 'W/m2 '}","{'standardName': 'diffuse_downwelling_shortwave_flux_in_air', 'cellMethod': 'time: mean', 'unit': 'W/m2 ', 'version': '44'}",{'values': ['PT0H']},,
242,mean(grass_temperature PT1H),Mean grass temperature (1 h),Hourly mean grass temperature. The mean value is an average of the 60 minute values from the last hour. Grass temperature is measured 10 cm above ground and gives a good indication of ground frost,degC,METNO-name,"{'baseName': 'grass_temperature', 'method': 'mean', 'period': 'PT1H', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TGM', 'X1TGM', 'X2TGM', 'X3TGM'], 'unit': 'degC'}",,,"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 0.1, 'values': [0.1]}",
243,mean(humidity_mixing_ratio P1M),Mean mixing ratio (month),Monthly mean of the ratio of the density of water vapour to the density of dry air,gr/kg,CF-name,"{'baseName': 'humidity_mixing_ratio', 'method': 'mean', 'period': 'P1M', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Humidity,"{'elementCodes': ['MR', 'MRM'], 'unit': 'gr/kg'}","{'standardName': 'humidity_mixing_ratio', 'cellMethod': 'time: mean', 'unit': '1', 'version': '44'}",,,
244,mean(max(air_temperature P1D) P1M),Mean maximum air temperature (month),Monthly mean of daily maximum temperature (the highest recorded temperature per 24 hours). The mean is an average of daily values. ,degC,CF-name,"{'baseName': 'air_temperature', 'method': 'mean', 'innerMethod': 'max', 'period': 'P1M', 'innerPeriod': 'P1D', 'methodDescription': 'Standard arithmetic mean value for the given period', 'innerMethodDescription': 'Maximum value observed or calculated in the given period'}",Temperature,"{'elementCodes': ['TAXM'], 'unit': 'degC'}","{'standardName': 'air_temperature', 'cellMethod': 'time: mean', 'unit': 'K', 'version': '44'}",{'values': ['PT18H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
245,mean(max(air_temperature P1D) P1Y),Mean maximum air temperature (year),Annual mean of daily maximum temperature (the highest recorded temperature per 24 hours). The mean is an average of daily values. ,degC,CF-name,"{'baseName': 'air_temperature', 'method': 'mean', 'innerMethod': 'max', 'period': 'P1Y', 'innerPeriod': 'P1D', 'methodDescription': 'Standard arithmetic mean value for the given period', 'innerMethodDescription': 'Maximum value observed or calculated in the given period'}",Temperature,"{'elementCodes': ['TAXM'], 'unit': 'degC'}","{'standardName': 'air_temperature', 'cellMethod': 'time: mean', 'unit': 'K', 'version': '44'}",{'values': ['PT18H']},,
246,mean(max(air_temperature P1D) P3M),Mean maximum air temperature (season),"Seasonal mean of daily maximum temperature (the highest recorded temperature per 24 hours). The mean is an average of daily values. A season covers three months: Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). ",degC,CF-name,"{'baseName': 'air_temperature', 'method': 'mean', 'innerMethod': 'max', 'period': 'P3M', 'innerPeriod': 'P1D', 'methodDescription': 'Standard arithmetic mean value for the given period', 'innerMethodDescription': 'Maximum value observed or calculated in the given period'}",Temperature,"{'elementCodes': ['TAXM'], 'unit': 'degC'}","{'standardName': 'air_temperature', 'cellMethod': 'time: mean', 'unit': 'degC', 'version': '44'}",{'values': ['PT18H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
247,mean(max(air_temperature_normal P1D 1961_1990) P1M),Normal for mean maximum air temperature 1961-1990 (month),Monthly normal for mean maximum air temperature calculated for the normal period of 1961-1990. ,degC,METNO-name,,Temperature,"{'elementCodes': ['TAXM'], 'unit': 'degC'}",,{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
248,mean(max(air_temperature_normal P1D 1961_1990) P1Y),Normal for mean maximum air temperature 1961-1990 (year),Annual normal for mean maximum air temperature calculated for the normal period of 1961-1990. ,degC,METNO-name,,Temperature,"{'elementCodes': ['TAXM'], 'unit': 'degC'}",,{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
